dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
ordering_v1,9,ordering_v1_9_001,50,comp_trendy_proxy,0.052124917041510344,11,1
ordering_v1,9,ordering_v1_9_002,25,enum_frumpy,0.062420499976724386,7,1
ordering_v1,9,ordering_v1_9_002,25,enum_rewrite_frumpy,0.07965850096661597,7,1
ordering_v1,9,ordering_v1_9_002,25,comp_trendy_proxy,0.06214691698551178,7,1
ordering_v1,11,ordering_v1_11_000,7,enum_frumpy,0.05788450001273304,9,1
ordering_v1,11,ordering_v1_11_000,7,enum_rewrite_frumpy,0.05241016601212323,9,1
ordering_v1,11,ordering_v1_11_000,7,comp_trendy_proxy,0.058220500010065734,9,1
ordering_v1,11,ordering_v1_11_001,29,enum_frumpy,0.06225791689939797,13,1
ordering_v1,11,ordering_v1_11_001,29,enum_rewrite_frumpy,0.05509804200846702,13,1
ordering_v1,11,ordering_v1_11_001,29,comp_trendy_proxy,0.07001266698352993,13,1
ordering_v1,11,ordering_v1_11_002,5,enum_frumpy,0.08410512504633516,5,1
ordering_v1,11,ordering_v1_11_002,5,enum_rewrite_frumpy,0.05567387503106147,5,1
ordering_v1,11,ordering_v1_11_002,5,comp_trendy_proxy,0.0674019999569282,5,1
counting_v1,3,counting_v1_3_000,23,enum_frumpy,0.053719582967460155,5,1
counting_v1,3,counting_v1_3_000,23,enum_rewrite_frumpy,0.06384216598235071,5,1
counting_v1,3,counting_v1_3_000,23,comp_trendy_proxy,0.05834245902951807,5,1
counting_v1,3,counting_v1_3_001,25,enum_frumpy,0.0647326250327751,12,1
counting_v1,3,counting_v1_3_001,25,enum_rewrite_frumpy,0.0524747499730438,12,1
counting_v1,3,counting_v1_3_001,25,comp_trendy_proxy,0.05639087501913309,12,1
counting_v1,3,counting_v1_3_002,40,enum_frumpy,0.05913004092872143,8,1
counting_v1,3,counting_v1_3_002,40,enum_rewrite_frumpy,0.04639154195319861,8,1
counting_v1,3,counting_v1_3_002,40,comp_trendy_proxy,0.05984804197214544,8,1
counting_v1,5,counting_v1_5_000,40,enum_frumpy,0.11863866599742323,12,1
counting_v1,5,counting_v1_5_000,40,enum_rewrite_frumpy,0.06117670808453113,12,1
counting_v1,5,counting_v1_5_000,40,comp_trendy_proxy,0.05075708404183388,12,1
counting_v1,5,counting_v1_5_001,13,enum_frumpy,0.05937920801807195,12,1
counting_v1,5,counting_v1_5_001,13,enum_rewrite_frumpy,0.08793020795565099,12,1
counting_v1,5,counting_v1_5_001,13,comp_trendy_proxy,0.07858470804058015,12,1
counting_v1,5,counting_v1_5_002,33,enum_frumpy,0.08989883400499821,14,1
counting_v1,5,counting_v1_5_002,33,enum_rewrite_frumpy,0.053498083958402276,14,1
counting_v1,5,counting_v1_5_002,33,comp_trendy_proxy,0.06332820898387581,14,1
counting_v1,7,counting_v1_7_000,38,enum_frumpy,0.053671708912588656,10,1
counting_v1,7,counting_v1_7_000,38,enum_rewrite_frumpy,0.06628654198721051,10,1
counting_v1,7,counting_v1_7_000,38,comp_trendy_proxy,0.06336420902516693,10,1
counting_v1,7,counting_v1_7_001,24,enum_frumpy,0.05904500000178814,14,1
counting_v1,7,counting_v1_7_001,24,enum_rewrite_frumpy,0.0527587920660153,14,1
counting_v1,7,counting_v1_7_001,24,comp_trendy_proxy,0.05541441589593887,14,1
counting_v1,7,counting_v1_7_002,12,enum_frumpy,0.061195457936264575,17,1
counting_v1,7,counting_v1_7_002,12,enum_rewrite_frumpy,0.05300083302427083,17,1
counting_v1,7,counting_v1_7_002,12,comp_trendy_proxy,0.05246425000950694,17,1
counting_v1,9,counting_v1_9_000,24,enum_frumpy,0.05444954091217369,8,1
counting_v1,9,counting_v1_9_000,24,enum_rewrite_frumpy,0.053392665926367044,8,1
counting_v1,9,counting_v1_9_000,24,comp_trendy_proxy,0.05817470804322511,8,1
counting_v1,9,counting_v1_9_001,18,enum_frumpy,0.053529333090409636,12,1
counting_v1,9,counting_v1_9_001,18,enum_rewrite_frumpy,0.05977758299559355,12,1
counting_v1,9,counting_v1_9_001,18,comp_trendy_proxy,0.07195062504615635,12,1
counting_v1,9,counting_v1_9_002,47,enum_frumpy,0.0525982080725953,17,1
counting_v1,9,counting_v1_9_002,47,enum_rewrite_frumpy,0.05284733395092189,17,1
counting_v1,9,counting_v1_9_002,47,comp_trendy_proxy,0.05144512502010912,17,1
counting_v1,11,counting_v1_11_000,36,enum_frumpy,0.05165783397387713,15,1
counting_v1,11,counting_v1_11_000,36,enum_rewrite_frumpy,0.05165137501899153,15,1
counting_v1,11,counting_v1_11_000,36,comp_trendy_proxy,0.0650670420145616,15,1
counting_v1,11,counting_v1_11_001,40,enum_frumpy,0.052572541986592114,12,1
counting_v1,11,counting_v1_11_001,40,enum_rewrite_frumpy,0.06529420788865536,12,1
counting_v1,11,counting_v1_11_001,40,comp_trendy_proxy,0.05215699994005263,12,1
counting_v1,11,counting_v1_11_002,7,enum_frumpy,0.058457500068470836,6,1
counting_v1,11,counting_v1_11_002,7,enum_rewrite_frumpy,0.07617958297487348,6,1
counting_v1,11,counting_v1_11_002,7,comp_trendy_proxy,0.08031933300662786,6,1
shortest_path_v1,3,shortest_path_v1_3_000,8,enum_frumpy,0.0768137089908123,12,1
shortest_path_v1,3,shortest_path_v1_3_000,8,enum_rewrite_frumpy,0.06100566603709012,12,1
shortest_path_v1,3,shortest_path_v1_3_000,8,comp_trendy_proxy,0.05605354194995016,12,1
shortest_path_v1,3,shortest_path_v1_3_001,52,enum_frumpy,0.08925704204011708,10,1
shortest_path_v1,3,shortest_path_v1_3_001,52,enum_rewrite_frumpy,0.07757229101844132,10,1
shortest_path_v1,3,shortest_path_v1_3_001,52,comp_trendy_proxy,0.07032537495251745,10,1
shortest_path_v1,3,shortest_path_v1_3_002,21,enum_frumpy,0.06038749997969717,8,1
shortest_path_v1,3,shortest_path_v1_3_002,21,enum_rewrite_frumpy,0.11118741694372147,8,1
shortest_path_v1,3,shortest_path_v1_3_002,21,comp_trendy_proxy,0.0698418749962002,8,1
shortest_path_v1,5,shortest_path_v1_5_000,15,enum_frumpy,0.0830317500513047,5,1
shortest_path_v1,5,shortest_path_v1_5_000,15,enum_rewrite_frumpy,0.06837795895989984,5,1
shortest_path_v1,5,shortest_path_v1_5_000,15,comp_trendy_proxy,0.05291429103817791,5,1
shortest_path_v1,5,shortest_path_v1_5_001,51,enum_frumpy,0.053162166965194046,14,1
shortest_path_v1,5,shortest_path_v1_5_001,51,enum_rewrite_frumpy,0.04758950008545071,14,1
shortest_path_v1,5,shortest_path_v1_5_001,51,comp_trendy_proxy,0.06068104098085314,14,1
shortest_path_v1,5,shortest_path_v1_5_002,45,enum_frumpy,0.05782412504777312,6,1
shortest_path_v1,5,shortest_path_v1_5_002,45,enum_rewrite_frumpy,0.07512233301531523,6,1
shortest_path_v1,5,shortest_path_v1_5_002,45,comp_trendy_proxy,0.058452083030715585,6,1
shortest_path_v1,7,shortest_path_v1_7_000,53,enum_frumpy,0.07032858300954103,12,1
shortest_path_v1,7,shortest_path_v1_7_000,53,enum_rewrite_frumpy,0.062292000045999885,12,1
shortest_path_v1,7,shortest_path_v1_7_000,53,comp_trendy_proxy,0.055869583040475845,12,1
shortest_path_v1,7,shortest_path_v1_7_001,51,enum_frumpy,0.070318250101991,15,1
shortest_path_v1,7,shortest_path_v1_7_001,51,enum_rewrite_frumpy,0.06426608294714242,15,1
shortest_path_v1,7,shortest_path_v1_7_001,51,comp_trendy_proxy,0.05691591708455235,15,1
shortest_path_v1,7,shortest_path_v1_7_002,29,enum_frumpy,0.06809241592418402,16,1
shortest_path_v1,7,shortest_path_v1_7_002,29,enum_rewrite_frumpy,0.06031283410266042,16,1
shortest_path_v1,7,shortest_path_v1_7_002,29,comp_trendy_proxy,0.06197608297225088,16,1
shortest_path_v1,9,shortest_path_v1_9_000,9,enum_frumpy,0.05119120795279741,16,1
shortest_path_v1,9,shortest_path_v1_9_000,9,enum_rewrite_frumpy,0.06712304090615362,16,1
shortest_path_v1,9,shortest_path_v1_9_000,9,comp_trendy_proxy,0.05332525004632771,16,1
shortest_path_v1,9,shortest_path_v1_9_001,14,enum_frumpy,0.055174833978526294,11,1
shortest_path_v1,9,shortest_path_v1_9_001,14,enum_rewrite_frumpy,0.045493416022509336,11,1
shortest_path_v1,9,shortest_path_v1_9_001,14,comp_trendy_proxy,0.05323337495792657,11,1
shortest_path_v1,9,shortest_path_v1_9_002,17,enum_frumpy,0.10619908396620303,13,1
shortest_path_v1,9,shortest_path_v1_9_002,17,enum_rewrite_frumpy,0.052783916937187314,13,1
shortest_path_v1,9,shortest_path_v1_9_002,17,comp_trendy_proxy,0.06600733404047787,13,1
shortest_path_v1,11,shortest_path_v1_11_000,39,enum_frumpy,0.05408537504263222,16,1
shortest_path_v1,11,shortest_path_v1_11_000,39,enum_rewrite_frumpy,0.05153079191222787,16,1
shortest_path_v1,11,shortest_path_v1_11_000,39,comp_trendy_proxy,0.0518268330488354,16,1
shortest_path_v1,11,shortest_path_v1_11_001,27,enum_frumpy,0.05411695805378258,13,1
shortest_path_v1,11,shortest_path_v1_11_001,27,enum_rewrite_frumpy,0.056212957948446274,13,1
shortest_path_v1,11,shortest_path_v1_11_001,27,comp_trendy_proxy,0.0624665830982849,13,1
shortest_path_v1,11,shortest_path_v1_11_002,55,enum_frumpy,0.06308579200413078,13,1
shortest_path_v1,11,shortest_path_v1_11_002,55,enum_rewrite_frumpy,0.09115408302750438,13,1
shortest_path_v1,11,shortest_path_v1_11_002,55,comp_trendy_proxy,0.10807000007480383,13,1
